Date,day,tweet_count_islam,tweet_count_blm,tweet_count_all
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-24,Friday,9,0,218
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-25,Saturday,14,2,847
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-26,Sunday,0,0,840
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-27,Monday,2,4,418
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-28,Tuesday,2,2,882
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-29,Wednesday,19,4,1445
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-11-30,Thursday,19,1,872
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
2017-12-01,Friday,6,2,1136
